week_ending,events,audience,cumulative_events,cumulative_audience
2022-09-16,1,14,1,14
2022-09-23,1,9,2,23
2022-09-30,1,10,3,33
2022-10-07,1,11,4,44
2022-10-14,1,11,5,55
2022-10-21,1,9,6,64
2022-10-28,0,0,6,64
2022-11-04,1,9,7,73
2022-11-11,1,10,8,83
2022-11-18,1,9,9,92
2022-11-25,1,10,10,102
2022-12-02,1,10,11,112
2022-12-09,1,10,12,122
2022-12-16,1,0,13,122
2022-12-23,0,0,13,122
2022-12-30,0,0,13,122
2023-01-06,1,0,14,122
2023-01-13,0,0,14,122
2023-01-20,0,0,14,122
2023-01-27,0,0,14,122
2023-02-03,1,8,15,130
2023-02-10,0,0,15,130
2023-02-17,0,0,15,130
2023-02-24,0,0,15,130
2023-03-03,0,0,15,130
2023-03-10,0,0,15,130
2023-03-17,0,0,15,130
2023-03-24,1,9,16,139
2023-03-31,1,8,17,147
2023-04-07,0,0,17,147
2023-04-14,0,0,17,147
2023-04-21,0,0,17,147
2023-04-28,1,8,18,155
2023-05-05,1,8,19,163
2023-05-12,0,0,19,163
2023-05-19,0,0,19,163
2023-05-26,0,0,19,163
2023-06-02,1,9,20,172
2023-06-09,1,10,21,182
2023-06-16,0,0,21,182
2023-06-23,0,0,21,182
2023-06-30,0,0,21,182
2023-07-07,0,0,21,182
2023-07-14,0,0,21,182
2023-07-21,0,0,21,182
2023-07-28,0,0,21,182
2023-08-04,0,0,21,182
2023-08-11,0,0,21,182
2023-08-18,0,0,21,182
2023-08-25,0,0,21,182
2023-09-01,0,0,21,182
2023-09-08,0,0,21,182
2023-09-15,0,0,21,182
2023-09-22,1,8,22,190
