date_submitted,callout,la_code,ward_code
2022-10-19,early_career_music_promoters,E08000035,E05011413
2022-10-24,leeds_on_wheels,E08000035,E05011400
2022-10-25,leeds_on_wheels,E08000035,E05011411
2022-10-26,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-26,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-26,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-26,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-27,early_career_music_promoters,E08000035,E05011403
2022-10-27,early_career_music_promoters,E08000035,E05011403
2022-10-27,early_career_music_promoters,E08000035,E05011403
2022-10-28,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-28,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-28,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-28,dancers_of_leeds,UNKNOWN,UNKNOWN
2022-10-28,leeds_on_wheels,E08000035,E05011390
2022-10-28,leeds_on_wheels,E08000035,E05011390
2022-10-28,leeds_on_wheels,E08000035,E05011394
2022-10-28,leeds_on_wheels,E08000035,E05011402
2022-10-28,leeds_on_wheels,E08000035,E05011403
2022-10-28,leeds_on_wheels,E08000035,E05011405
2022-10-28,leeds_on_wheels,E08000035,E05011409
2022-10-28,leeds_on_wheels,E08000035,E05011409
2022-10-28,leeds_on_wheels,E08000035,E05011413
2022-10-28,leeds_on_wheels,E08000035,E05012647
2022-10-28,leeds_on_wheels,E08000035,E05012648
2022-10-28,leeds_on_wheels,E08000035,E05012648
2022-10-29,leeds_on_wheels,E08000032,E05001355
2022-10-29,leeds_on_wheels,E08000032,E05001355
2022-10-30,early_career_music_promoters,E08000035,E05011403
2022-11-01,dancers_of_leeds,E08000035,E05011403
2022-11-01,dancers_of_leeds,E08000035,E05011404
2022-11-01,early_career_music_promoters,E08000035,E05011403
2022-11-02,dancers_of_leeds,E08000035,E05011387
2022-11-02,dancers_of_leeds,E08000035,E05011400
2022-11-02,dancers_of_leeds,E08000035,E05011411
2022-11-02,early_career_music_promoters,E08000035,E05011397
2022-11-02,early_career_music_promoters,E08000035,E05011397
2022-11-03,leeds_on_wheels,UNKNOWN,UNKNOWN
2022-11-05,dancers_of_leeds,E08000035,E05011402
2022-11-05,early_career_music_promoters,E08000035,E05011397
2022-11-07,early_career_music_promoters,E08000035,E05011403
2022-11-07,leeds_on_wheels,E08000035,E05012647
2022-11-08,leeds_on_wheels,E08000035,E05012648
2022-11-10,become_a_wowser,UNKNOWN,UNKNOWN
2022-11-10,dancers_of_leeds,E08000035,E05011407
2022-11-10,dancers_of_leeds,E08000035,E05011414
2022-11-10,early_career_music_promoters,E08000035,E05011403
2022-11-11,dancers_of_leeds,E08000035,E05011549
2022-11-11,leeds_on_wheels,E08000035,E05011387
2022-11-11,leeds_on_wheels,E08000035,E05011389
2022-11-13,leeds_on_wheels,E08000035,E05011409
2022-11-14,dancers_of_leeds,E08000035,E05011397
2022-11-14,dancers_of_leeds,E08000035,E05011397
2022-11-14,dancers_of_leeds,E08000035,E05012842
2022-11-14,early_career_music_promoters,E08000035,E05011397
2022-11-15,dancers_of_leeds,E08000033,E05001373
2022-11-15,off_the_curriculum,E08000035,E05011396
2022-11-16,dancers_of_leeds,E08000035,E05012648
2022-11-16,off_the_curriculum,E08000035,E05011385
2022-11-16,off_the_curriculum,E08000035,E05012841
2022-11-16,off_the_curriculum,UNKNOWN,UNKNOWN
2022-11-17,authors_abroad,E08000035,E05011387
2022-11-17,authors_abroad,E08000035,E05011397
2022-11-17,authors_abroad,E08000035,E05011405
2022-11-17,authors_abroad,E08000035,E05011407
2022-11-17,authors_abroad,E08000035,E05011409
2022-11-17,dancers_of_leeds,UNKNOWN,UNKNOWN
